"Import","Import"
"Catalog Management (MCM)","Gestion catalogue (MCM)"
"Enable MCM","Activer MCM"
"Mirakl Import Type","Type import Mirakl"
"Which type of import do you use with mirakl ?","Quel type d'import utilisez-vous avec Mirakl ?"
"MCM Products Import (CM51)","Import des produits MCM (CM51)"
"Import all MCM products in Magento","Import de tous les produits MCM dans Magento"
"MCM Products Import","Import produits MCM"
"Products Images Import","Import des images produits"
"Headers","En-têtes"
"Configure headers used when downloading images. One header per line.","Configurez les en-têtes à utiliser lors du téléchargement des images. Un header par ligne."
"Protocol Version","Version du protocole"
"HTTP protocol version to use when downloading images.","Version du protocole HTTP à utiliser lors du téléchargement des images."
"Timeout","Timeout"
"Maximum time in seconds for an image to be downloaded. Default is 10s.","Temps maximum en secondes pour le téléchargement d'une image."
"Will download and import pending products images into Magento.","Les images en attente seront téléchargées et importées dans Magento."
"Are you sure? This will download and import pending products images into Magento.","Êtes-vous sûr ? Les images produits en attente seront téléchargées et importées dans Magento."
"Attributes Used for Deduplication","Attributs utilisés pour la déduplication"
"Selected attributes will be used to deduplicate products during import. Only attributes defined as unique and in global scope are listed here.","Les attributs sélectionnés seront utilisés pour dédupliquer les produits lors de l'import. Seuls les attributs définis comme uniques et dans le scope global sont listés ici."
"Enable multivalues for deduplication attributes","Activer les valeurs multiples pour les attributs de déduplication"
"If enabled, multivalues for deduplication attributes is allowed. This can highly slow down product import.","Si activé, les valeurs multiples seront dédupliquées durant l'import produit. Cela peut fortement ralentir l'import produit."
"Deduplication Delimiter","Délimiteur pour la déduplication des valeurs multiples des attributs"
"This delimiter will be used to split the deduplication attribute value for products files that will be imported to Magento.","Ce délimiteur permet de rechercher sur plusieurs valeurs lors de la déduplication des produits dans Magento."
"Import Path","Chemin de l'import"
"This path will be used to monitor sellers products files that will be imported to Magento.","Ce chemin sera utilisé pour monitorer les fichiers produits des vendeurs qui seront importés dans Magento."
"Enable Product Import on Store","Activer l'import produits sur cette vue magasin"
"Do you allow product data import on that store? If yes, any product data coming from Mirakl will be imported in that store if the product language is the same as the one associated to the store view.","Autorisez-vous l'import de produits sur cette vue magasin ? Si oui, tout produit venant de Mirakl sera importé dans cette vue magasin s'il est dans la langue associée à cette vue magasin."
"Products Import","Synchronisation des produits vendeurs"
"Default Visibility","Visibilité par défaut"
"Automatically sets the selected visibility to newly added products.","Définit automatiquement la visibilité sélectionnée aux produits importés."
"Default Tax Class","Classe Logistique par défaut"
"This parameter allows you to define a default tax class to apply on created products.","Ce paramètre permet de définir une classe logistique par défaut lors de la création de produits."
"Automatically Enable Product","Activer automatiquement les produits"
"If enabled, imported products will be automatically active.","Si activé, les produits importés seront activés automatiquement."
"Automatically Create Configurable Products","Créer les produits configurables automatiquement"
"If enabled, incoming products that have variants will trigger parent configurable product creation if it does not exist yet.","Si activé, un produit à importer contenant des variants enclenchera la création d'un produit configurable si celui-ci n'existe pas encore."
"Send Import Report to Mirakl (API P43)","Envoyer le rapport d'import à Mirakl (API P43)"
"If enabled, products import report will be sent to Mirakl through API P43 (import status, success, and errors files).","Si activé, le rapport d'import des produits sera envoyé à Mirakl via l'API P43 (statut d'import, fichiers d'erreurs, et de succès)."
"Sending products import report files and status to Mirakl...","Envoi du rapport d'import des produits vers Mirakl..."
"Update Existing Products","Mettre à jour les produits existants"
"If enabled, existing products will be updated during import. If not, only product creation is allowed.","Si activé, les produits existants seront mis à jour lors de l'import. Si désactivé, seule la création de produit est autorisée."
"If enabled, imported products will be automatically flagged as synchronizable with Mirakl platform (for API P21 ).","Si activé, les produits importés seront automatiquement synchronisables avec la plateforme Mirakl (API P21)."
"File","Fichier"
"File in CSV format.","Fichier au format CSV."
"File has been uploaded successfully. Products will be imported in background.","Le fichier a été téléchargé avec succès. Les produits seront importés en tâche de fond."
"Products have been imported successfully.","Les produits ont été importés avec succès."
"Automatically Assign Category","Assigner automatiquement la catégorie"
"If enabled, the category associated with the product will be automatically assigned to the product created in Magento (for API P21).","Si activé, la catégorie associée au produit sera automatiquement associée au produit créé dans Magento (API P21)."
"Check Data Hash Before Import","Vérifier les données avant importation"
"If enabled, product data will be skipped if already processed before. This is useful to speed up products import and avoid updating products data that has not changed.","Si activé, les données seront ignorées si le produit a déjà été traité auparavant. Ceci est utile pour accélérer l'import produits et pour éviter de mettre à jour des produits qui n'ont pas changé."
"Clear Hashes","Supprimer toutes les valeurs de hachage"
"Are you sure? This will clear all data hashes.","Êtes-vous sûr ? Toutes les valeurs de hachage seront supprimées."
"Hashes have been cleared successfully.","Les valeurs de hachage ont été supprimées avec succès."
"An error occurred while clearing hashes (%1).","Une erreur est survenue lors de la suppression des valeurs de hachage (%1)."
"No image attribute found.","Aucun attribut image trouvé."
"Processing images for product %1...","Traitement des images du produit %1..."
"Downloading image %1","Téléchargement de l'image %1"
"OK (%1)","OK (%1)"
"Saving images for product %1...","Enregistrement des images du produit %1..."
"Adding ""%1""","Ajout de l'image ""%1"""
"Saving product %1...","Sauvegarde du produit %1..."
"Found %1 image attribute%2 (%3).","%1 attribut%2 de type image (%3)."
"Found %1 product%2 to process.","%1 produit%2 à synchroniser."
"Running file ""%1""...","Traitement du fichier ""%1""..."
"Another file is processing. Aborted.","Un autre fichier est en cours de traitement. Abandon."
"Images will be downloaded and imported in background.","Les images vont être téléchargées et importées en tâche de fond."
"An error occurred while importing images (%1).","Une erreur est survenue lors de l'import des images (%1)."
"Skipping line %1 because already imported (%2)","Ligne %1 ignorée car déjà importée (%2)"
"Automatically Flag Product as Synchronizable","Marquer automatiquement les produits comme « synchronisables »"
"Could not find attribute set for category ""%1""","Impossible de récupérer le jeu d'attributs pour la catégorie ""%1"""
"Could not find attribute set with id ""%1""","Impossible de trouver le jeu d'attributs avec l'id ""%1"""
"Could not find category with id ""%1""","Impossible de trouver la catégorie avec l'id ""%1"""
"Could not read file ""%1""","Impossible de lire le fichier ""%1"""
"File has been saved as ""%1"" (%1)","Le fichier a été enregistré dans ""%1"" (%1)"
"[OK] Product has been processed for line %1 (SKU: %2)","[OK] Le produit de la ligne %1 a été traité (SKU : %2)"
"Could not find import id from file name ""%1""","Impossible de trouver l'identifiant de l'import dans le nom du fichier ""%1"""
"Could not find shop id from file name ""%1""","Impossible de trouver l'identifiant du vendeur dans le nom du fichier ""%1"""
"Could not find SKU in product data","Impossible de trouver la colonne SKU"
"Import Id: %1","Identifiant de l'import : %1"
"Status: %1","Statut : %1"
"Creating process for P43 import report...","Création d'un processus pour envoi P43 du rapport d'import..."
